Location,Latitude,Longtitude
Adelaide,-34.921230,138.599503
Albany,-35.0031,117.86595
Albury,-36.08422,146.90974
AliceSprings,-23.69748,133.88362
BadgerysCreek,-26.4390917,133.281323
Ballarat,-37.56622,143.84957
Bendigo,-36.75818,144.28024
Brisbane,-27.46794,153.02809
Cairns,-16.92304,145.76625
Canberra,-35.28346,149.12807
Cobar,-31.49873,145.84183
CoffsHarbour,-30.29626,153.11351
Dartmoor,-37.9333296,141.2833322
Darwin,-12.46113,130.84185
GoldCoast,-28.00029,153.43088
Hobart,-42.87936,147.32941
Katherine,-14.46517,132.26347
Launceston,-41.43876,147.13467
Melbourne,-37.814,144.96332
MelbourneAirport,-37.814,144.96332
Mildura,-34.18551,142.16251
Moree,-29.46278,149.84157
MountGambier,-37.8318,140.77919
MountGinini,-35.5333312,148.7833302
Newcastle,-32.92715,151.77647
Nhil,-36.333332,141.6499974
NorahHead,-33.2833,151.5667
NorfolkIsland,-29.040835,167.954712
Nuriootpa,-34.46825,138.99767
PearceRAAF,-31.66667,116.01667
Penrith,-33.752179,150.691047
Perth,-31.95224,115.8614
PerthAirport,-31.95224,115.8614
Portland,-33.35709,149.98148
Richmond,-33.59956,150.75142
Sale,-38.11095,147.06802
SalmonGums,-32.9879,121.642235
Sydney,-33.86785,151.20732
SydneyAirport,-33.86785,151.20732
Townsville,-19.26639,146.80569
Tuggeranong,-35.4244,149.0888
Uluru,-25.344428,131.036882
WaggaWagga,-35.108169,147.359832
Walpole,-34.955089,116.769632
Watsonia,-37.711699,145.082002
Williamtown,-32.815,151.842778
Witchcliffe,-34.008185,115.115542
Wollongong,-34.4250728,150.8931494
Woomera,-31.165639,136.819261
